specimen	treatment	treatment_type	moment	dec_s	inc_s
I1531-7D	0.0	T	0.0318602	241.8	-71.0
I1531-7D	100.0	T	0.030391400000000002	284.5	-68.8
I1531-7D	100.1	T	0.0338735	279.7	-69.5
I1531-7D	150.1	T	0.0377606	273.6	-70.3
I1531-7D	150.0	T	0.0327562	290.4	-68.5
I1531-7D	200.0	T	0.028920400000000002	287.7	-71.9
I1531-7D	100.2	T	0.0339317	295.9	-71.8
I1531-7D	200.1	T	0.036840200000000003	298.1	-74.1
I1531-7D	200.1	T	0.034693100000000004	297.6	-71.9
I1531-7D	100.2	T	0.0364481	303.9	-71.6
I1531-7D	200.1	T	0.0369552	300.8	-72.7
I1531-7D	250.1	T	0.0390179	313.5	-74.9
I1531-7D	250.0	T	0.0323305	308.4	-73.1
I1531-7D	300.0	T	0.0284602	315.2	-72.5
I1531-7D	200.2	T	0.0375608	319.0	-76.5
I1531-7D	300.1	T	0.0387995	327.7	-76.3
I1531-7D	350.1	T	0.051754600000000005	322.5	-80.2
I1531-7D	350.0	T	0.0327728	332.8	-72.9
I1531-7D	400.0	T	0.0277853	346.0	-74.3
I1531-7D	300.2	T	0.0413962	338.1	-79.0
I1531-7D	400.1	T	0.057354300000000004	343.2	-83.8
I1531-7D	435.1	T	0.0595638	348.3	-80.9
I1531-7D	435.0	T	0.0323747	3.4	-77.1
I1531-7D	470.0	T	0.0286869	0.0	-76.9
I1531-7D	400.2	T	0.051074800000000004	5.8	-81.2
I1531-7D	470.1	T	0.0574309	0.7	-79.6
I1531-7D	505.1	T	0.0687923	6.8	-80.6
I1531-7D	505.0	T	0.0332068	0.1	-76.3
I1531-7D	520.0	T	0.029454	13.7	-76.0
I1531-7D	470.2	T	0.0534309	357.9	-81.4
I1531-7D	520.1	T	0.0713326	337.3	-86.7
I1531-7D	535.1	T	0.0821496	5.5	-82.4
I1531-7D	535.0	T	0.0332118	4.5	-74.7
I1531-7D	550.0	T	0.0246665	348.6	-69.5
I1531-7D	520.2	T	0.0653984	322.3	-75.6
I1531-7D	550.1	T	0.122371	354.9	-81.6
I1531-7D	555.1	T	0.143099	343.2	-84.8
I1531-7D	555.0	T	0.0266604	352.9	-72.0
I1531-7D	560.0	T	0.0225234	353.8	-68.2
