specimen	treatment	treatment_type	moment	dec_s	inc_s
I527-1C	0.0	T	0.0554803	170.5	-26.0
I527-1C	100.0	T	0.0608457	166.7	-25.4
I527-1C	100.1	T	0.0625686	169.2	-30.4
I527-1C	150.1	T	0.0668972	165.6	-32.9
I527-1C	150.0	T	0.0651965	167.3	-29.2
I527-1C	200.0	T	0.06588849999999999	163.2	-27.3
I527-1C	100.2	T	0.0688229	160.1	-32.1
I527-1C	200.1	T	0.0701046	165.0	-38.7
I527-1C	200.1	T	0.06948510000000001	162.6	-32.2
I527-1C	100.2	T	0.071441	164.9	-36.4
I527-1C	200.1	T	0.0707357	163.2	-37.0
I527-1C	250.1	T	0.0734892	160.9	-37.7
I527-1C	250.0	T	0.0716082	163.3	-35.3
I527-1C	300.0	T	0.0697183	167.3	-31.2
I527-1C	200.2	T	0.0734243	158.1	-37.1
I527-1C	300.1	T	0.07595	157.5	-41.9
I527-1C	350.1	T	0.084428	162.9	-47.5
I527-1C	350.0	T	0.0735723	160.0	-33.8
I527-1C	400.0	T	0.0713183	158.2	-35.9
I527-1C	300.2	T	0.07912380000000001	159.2	-44.0
I527-1C	400.1	T	0.0873808	157.5	-52.3
I527-1C	435.1	T	0.0887312	164.3	-52.2
I527-1C	435.0	T	0.0736842	160.4	-34.7
I527-1C	470.0	T	0.0709265	159.2	-37.1
I527-1C	400.2	T	0.08752370000000001	153.1	-49.9
I527-1C	470.1	T	0.0899375	157.5	-48.1
I527-1C	505.1	T	0.095812	158.2	-55.1
I527-1C	505.0	T	0.07245910000000001	153.9	-41.0
I527-1C	520.0	T	0.06739730000000001	157.1	-38.7
I527-1C	470.2	T	0.0881644	150.1	-52.9
I527-1C	520.1	T	0.10106000000000001	146.5	-63.3
I527-1C	535.1	T	0.113618	144.2	-61.7
I527-1C	535.0	T	0.0629301	155.9	-44.7
I527-1C	550.0	T	0.0373604	153.6	-41.0
I527-1C	520.2	T	0.0916673	145.3	-72.2
I527-1C	550.1	T	0.175769	148.8	-80.6
I527-1C	555.1	T	0.19184500000000002	182.1	-85.1
I527-1C	555.0	T	0.028432600000000002	156.9	-45.5
I527-1C	560.0	T	0.022235900000000003	158.9	-42.9
