specimen	treatment	treatment_type	moment	dec_s	inc_s
I527-7B	0.0	T	0.0956169	180.2	-42.5
I527-7B	100.0	T	0.10528100000000001	179.3	-46.7
I527-7B	100.1	T	0.111164	182.1	-47.9
I527-7B	150.1	T	0.122047	181.8	-53.7
I527-7B	150.0	T	0.114475	183.8	-49.6
I527-7B	200.0	T	0.113524	182.3	-48.6
I527-7B	100.2	T	0.121779	183.2	-52.5
I527-7B	200.1	T	0.127061	183.9	-54.8
I527-7B	200.1	T	0.12258100000000001	180.3	-49.5
I527-7B	100.2	T	0.128976	184.4	-53.1
I527-7B	200.1	T	0.13150399999999998	181.9	-51.9
I527-7B	250.1	T	0.136575	178.3	-56.8
I527-7B	250.0	T	0.126047	180.1	-50.9
I527-7B	300.0	T	0.12152400000000001	181.4	-51.9
I527-7B	200.2	T	0.136875	179.9	-56.7
I527-7B	300.1	T	0.140316	184.7	-57.2
I527-7B	350.1	T	0.17400000000000002	181.5	-64.7
I527-7B	350.0	T	0.136156	183.0	-55.7
I527-7B	400.0	T	0.128507	183.4	-53.8
I527-7B	300.2	T	0.154033	179.6	-61.4
I527-7B	400.1	T	0.18241900000000003	184.9	-67.1
I527-7B	435.1	T	0.189787	183.2	-67.1
I527-7B	435.0	T	0.135752	181.3	-56.0
I527-7B	470.0	T	0.12640600000000002	183.7	-55.4
I527-7B	400.2	T	0.180762	181.9	-62.7
I527-7B	470.1	T	0.18149600000000002	181.2	-63.8
I527-7B	505.1	T	0.204071	182.7	-68.2
I527-7B	505.0	T	0.13281700000000002	177.5	-57.3
I527-7B	520.0	T	0.1216	179.6	-56.2
I527-7B	470.2	T	0.187541	177.9	-69.9
I527-7B	520.1	T	0.220733	180.3	-71.8
I527-7B	535.1	T	0.250221	174.8	-75.2
I527-7B	535.0	T	0.119113	178.7	-60.2
I527-7B	550.0	T	0.0686635	180.7	-60.3
I527-7B	520.2	T	0.200808	170.6	-80.0
I527-7B	550.1	T	0.37329199999999996	155.8	-83.7
I527-7B	555.1	T	0.40610199999999996	155.5	-84.5
I527-7B	555.0	T	0.056086300000000006	176.9	-63.8
I527-7B	560.0	T	0.038174	180.6	-62.4
