specimen	treatment	treatment_type	moment	dec_s	inc_s
I92-2B	0.0	T	0.0453572	193.9	4.0
I92-2B	100.0	T	0.043255299999999997	195.0	3.6
I92-2B	100.1	T	0.0425556	193.9	-0.9
I92-2B	150.1	T	0.0399242	196.2	-17.9
I92-2B	150.0	T	0.0373125	193.2	-5.9
I92-2B	200.0	T	0.0345163	195.2	1.8
I92-2B	100.2	T	0.0344482	196.4	-6.3
I92-2B	200.1	T	0.0357502	193.3	-19.2
I92-2B	200.1	T	0.03506	196.9	-15.4
I92-2B	200.1	T	0.03506	196.9	-15.4
I92-2B	200.1	T	0.0348923	190.9	-13.6
I92-2B	200.1	T	0.0350838	193.3	-14.9
I92-2B	100.2	T	0.0353667	196.2	-16.9
I92-2B	200.1	T	0.0354562	196.7	-19.8
I92-2B	250.1	T	0.0373604	195.7	-39.7
I92-2B	250.0	T	0.0285439	196.1	-16.9
I92-2B	300.0	T	0.0177729	195.7	-8.0
I92-2B	200.2	T	0.0190759	197.5	-23.8
I92-2B	300.1	T	0.023610600000000002	199.0	-52.2
I92-2B	350.1	T	0.027517399999999997	204.2	-64.2
I92-2B	350.0	T	0.0195759	201.5	-55.1
I92-2B	400.0	T	0.0159492	197.3	-49.2
I92-2B	300.2	T	0.0190975	198.1	-57.4
I92-2B	400.1	T	0.025297899999999998	200.8	-66.9
I92-2B	435.1	T	0.029633	200.9	-70.5
I92-2B	435.0	T	0.0172268	198.1	-57.8
I92-2B	470.0	T	0.0146677	199.6	-53.0
I92-2B	400.2	T	0.022554400000000002	197.8	-67.7
I92-2B	470.1	T	0.0294625	201.2	-71.6
I92-2B	505.1	T	0.0408581	200.2	-78.1
I92-2B	505.0	T	0.0177053	198.6	-65.2
I92-2B	520.0	T	0.0151419	195.8	-60.8
I92-2B	470.2	T	0.029743600000000002	199.1	-76.0
I92-2B	520.1	T	0.0445828	199.6	-81.1
I92-2B	535.1	T	0.0666829	216.3	-85.0
I92-2B	535.0	T	0.0186682	201.3	-73.4
I92-2B	550.0	T	0.0077478	208.3	-63.7
I92-2B	520.2	T	0.062370800000000004	242.8	-83.6
I92-2B	550.1	T	0.20821199999999998	47.2	-88.3
I92-2B	555.1	T	0.28566	127.9	-85.1
I92-2B	555.0	T	0.0117885	181.5	-83.9
I92-2B	560.0	T	0.0104107	191.9	-82.2
